Number,Description,StartReq,StartDate,FinishDate
A_120,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 16 по 22 августа 2010 года,04.08.2010 15:30:00,10.08.2010 10:15:00,10.08.2010 13:30:00,_120,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 16 по 22 августа 2010 года,04.08.2010 15:30:00,10.08.2010 10:15:00,10.08.2010 13:30:00
A_127,Выбор поставщика(-ов) бакалейной продукции (2я часть) для поставки в период с 16 по 22 августа 2010 года,04.08.2010 15:35:00,11.08.2010 15:00:00,11.08.2010 16:45:00,_127,Выбор поставщика(-ов) бакалейной продукции (2я часть) для поставки в период с 16 по 22 августа 2010 года,04.08.2010 15:35:00,11.08.2010 15:00:00,11.08.2010 16:45:00
A_129,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 18 по 29 августа 2010 года,13.08.2010 15:30:00,17.08.2010 13:00:00,17.08.2010 15:00:00,_129,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 18 по 29 августа 2010 года,13.08.2010 15:30:00,17.08.2010 13:00:00,17.08.2010 15:00:00
A_135,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 25 августа по 5 сентября 2010 года,20.08.2010 15:00:00,24.08.2010 10:30:00,24.08.2010 12:45:00,_135,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 25 августа по 5 сентября 2010 года,20.08.2010 15:00:00,24.08.2010 10:30:00,24.08.2010 12:45:00
A_142,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 03 сентября по 12 сентября 2010 года,27.08.2010 15:15:00,02.09.2010 10:00:00,02.09.2010 12:15:00,_142,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 03 сентября по 12 сентября 2010 года,27.08.2010 15:15:00,02.09.2010 10:00:00,02.09.2010 12:15:00
A_147,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 08 сентября по 19 сентября 2010 года,03.09.2010 10:00:00,07.09.2010 12:00:00,07.09.2010 13:45:00,_147,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 08 сентября по 19 сентября 2010 года,03.09.2010 10:00:00,07.09.2010 12:00:00,07.09.2010 13:45:00
A_149,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 15 сентября по 26 сентября 2010 года,09.09.2010 10:30:00,14.09.2010 11:00:00,14.09.2010 12:30:00,_149,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 15 сентября по 26 сентября 2010 года,09.09.2010 10:30:00,14.09.2010 11:00:00,14.09.2010 12:30:00
A_160,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 22 сентября по 03 октября 2010 года,17.09.2010 12:00:00,21.09.2010 11:00:00,21.09.2010 12:30:00,_160,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 22 сентября по 03 октября 2010 года,17.09.2010 12:00:00,21.09.2010 11:00:00,21.09.2010 12:30:00
A_171,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 29 сентября по 10 октября 2010 года,27.09.2010 09:00:00,28.09.2010 11:00:00,28.09.2010 12:30:00,_171,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 29 сентября по 10 октября 2010 года,27.09.2010 09:00:00,28.09.2010 11:00:00,28.09.2010 12:30:00
A_191,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 06 октября по 17 октября 2010 года,01.10.2010 08:20:00,05.10.2010 11:45:00,05.10.2010 13:30:00,_191,Выбор поставщика(-ов) бакалейной продукции (1я часть) для поставки в период с 06 октября по 17 октября 2010 года,01.10.2010 08:20:00,05.10.2010 11:45:00,05.10.2010 13:30:00
